sort,average_clustering,transitivity,global_efficiency,reciprocity,average_degree,nodes,edges
0,0.32325071,0.238792176,0.342935369,0.605765155,15.91231029,1186,9436
1,0.324202674,0.225797502,0.336591713,0.605893749,15.25194401,1286,9807
2,0.306900954,0.216404101,0.329534873,0.563906752,14.48617176,1374,9952
3,0.325426958,0.216837605,0.341081322,0.58958959,15.39291217,1298,9990
4,0.332598362,0.216932587,0.34676417,0.597669637,15.61620795,1308,10213
5,0.318099329,0.223132603,0.337629747,0.610370659,15.183161,1354,10279
6,0.336899404,0.215846739,0.339509755,0.598831352,14.7928465,1342,9926
7,0.312923869,0.216951062,0.330218922,0.590285341,13.43379663,1367,9182
8,0.330369149,0.214386874,0.338294007,0.607788595,14.5884058,1380,10066
9,0.330629848,0.218760362,0.338791145,0.60556369,14.90181818,1375,10245
10,0.325673123,0.226103813,0.343230174,0.604301303,15.22419355,1240,9439
11,0.336586542,0.228835407,0.342615125,0.608713565,15.28976378,1270,9709
12,0.317763666,0.214729232,0.332992859,0.573221312,14.00297841,1343,9403
13,0.321442878,0.212140398,0.337664744,0.58140247,14.57886905,1344,9797
14,0.315444457,0.206308961,0.340135039,0.573745565,14.71290082,1341,9865
15,0.318746078,0.204086845,0.338919943,0.548565677,14.50364964,1370,9935
16,0.304638919,0.202843522,0.337119109,0.566153846,14.42501681,1487,10725
17,0.331832691,0.232183115,0.342151118,0.582614775,14.96425458,1147,8582
18,0.315915073,0.226630084,0.339863053,0.60528506,15.70588235,1224,9612
19,0.303622322,0.204186529,0.332469393,0.562017167,13.87937453,1343,9320
20,0.317169454,0.214474082,0.336461952,0.581533206,14.4350979,1379,9953
21,0.310690709,0.219802927,0.330688564,0.571428571,13.40469208,1364,9142
22,0.321536763,0.215629252,0.335318186,0.592043291,14.36861051,1389,9979
23,0.324404673,0.211443785,0.336813197,0.58618364,14.79543835,1403,10379
24,0.327645764,0.217787645,0.345636737,0.595803306,15.46885246,1220,9436
25,0.307929109,0.217952864,0.337899889,0.573583181,13.98083067,1252,8752
26,0.326678117,0.224819189,0.334068528,0.608210846,15.24729521,1294,9865
27,0.307616592,0.214646481,0.334832694,0.601064385,14.21810089,1348,9583
